schema_version,pilot_row_id,pilot_group_id,sequence_order,intensity_rank,intensity_label,pilot_role,planned_physical_cause,planned_intervention_type,final_benchmark_eligible,operation_summary
evidencemm_day23_pilot_plan_v1,p23_g01_clean,p23_g01,1,0,control,clean_control,none_clean,none,false,Nominal pick-place. No deliberate intervention.
evidencemm_day23_pilot_plan_v1,p23_g01_target,p23_g01,2,1,mild,controlled_cause,target_offset_or_perception,object_target_pose_offset,false,Move the red cube away from the nominal start marker in the predeclared safe direction; execute the nominal grasp path toward the original marker and do not compensate for the moved cube.
evidencemm_day23_pilot_plan_v1,p23_g01_gripper,p23_g01,3,1,mild,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,false,"Keep object and nominal motion path unchanged; intentionally shift grasp-close earlier or later in the one predeclared direction, with intensity determined by group rank."
evidencemm_day23_pilot_plan_v1,p23_g01_trajectory,p23_g01,4,1,mild,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,false,Keep object pose and gripper timing nominal; introduce one predeclared bounded lateral approach-path deviation toward free space and do not add a second intervention.
evidencemm_day23_pilot_plan_v1,p23_g02_clean,p23_g02,5,0,control,clean_control,none_clean,none,false,Nominal pick-place. No deliberate intervention.
evidencemm_day23_pilot_plan_v1,p23_g02_target,p23_g02,6,2,medium,controlled_cause,target_offset_or_perception,object_target_pose_offset,false,Move the red cube away from the nominal start marker in the predeclared safe direction; execute the nominal grasp path toward the original marker and do not compensate for the moved cube.
evidencemm_day23_pilot_plan_v1,p23_g02_gripper,p23_g02,7,2,medium,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,false,"Keep object and nominal motion path unchanged; intentionally shift grasp-close earlier or later in the one predeclared direction, with intensity determined by group rank."
evidencemm_day23_pilot_plan_v1,p23_g02_trajectory,p23_g02,8,2,medium,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,false,Keep object pose and gripper timing nominal; introduce one predeclared bounded lateral approach-path deviation toward free space and do not add a second intervention.
evidencemm_day23_pilot_plan_v1,p23_g03_clean,p23_g03,9,0,control,clean_control,none_clean,none,false,Nominal pick-place. No deliberate intervention.
evidencemm_day23_pilot_plan_v1,p23_g03_target,p23_g03,10,3,strongest_safe,controlled_cause,target_offset_or_perception,object_target_pose_offset,false,Move the red cube away from the nominal start marker in the predeclared safe direction; execute the nominal grasp path toward the original marker and do not compensate for the moved cube.
evidencemm_day23_pilot_plan_v1,p23_g03_gripper,p23_g03,11,3,strongest_safe,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,false,"Keep object and nominal motion path unchanged; intentionally shift grasp-close earlier or later in the one predeclared direction, with intensity determined by group rank."
evidencemm_day23_pilot_plan_v1,p23_g03_trajectory,p23_g03,12,3,strongest_safe,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,false,Keep object pose and gripper timing nominal; introduce one predeclared bounded lateral approach-path deviation toward free space and do not add a second intervention.
