schema_version,plan_row_id,pair_group_id,attempt_index,episode_id,raw_episode_relpath,recorder_script_version,technical_valid,recorder_overall_pass,failed_checks,task_success,ambiguity_protocol_followed,deliberate_known_cause_intervention,intentional_failure_injection,multiple_primary_interventions,scene_comparable,scene_setup_id,object_identity,nominal_start_condition,camera_setup,acquisition_configuration,safety_abort,hardware_fault,experimental_valid,selected_canonical,exclusion_reason,operator_notes
evidencemm_day27_insufficient_evidence_collection_record_v1,rcv2_g01_s06,rcv2_g01,1,20260824_193402,20260824_193402,episode_recorder_v7,true,true,,true,true,false,false,false,true,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,false,false,ambiguity_candidate_task_success,Day27 v1 nominal attempt 1；正常nominal操作；无人工cause干预；任务成功；raw retained；v1 protocol later retired before any canonical s06
evidencemm_day27_insufficient_evidence_collection_record_v1,rcv2_g01_s06,rcv2_g01,2,20260824_194022,20260824_194022,episode_recorder_v7,true,true,,true,true,false,false,false,true,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,false,false,ambiguity_candidate_task_success,Day27 v1 nominal attempt 2；正常nominal操作；无人工cause干预；任务成功；900/900 recorder PASS；raw retained；v1 protocol later retired before any canonical s06
evidencemm_day27_insufficient_evidence_collection_record_v1,rcv2_g01_s06,rcv2_g01,3,20260824_200034,20260824_200034,episode_recorder_v7,true,true,,false,true,true,true,false,true,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G01 s06 Day27-v2；target mild challenge；红色方块由nominal marker沿Follower正前方移动20mm；机械臂继续执行原nominal抓取位置和nominal轨迹；夹爪保持正常时序；未追踪或补偿偏移方块；无第二干预；夹爪仅碰到方块未形成有效夹持；任务失败
evidencemm_day27_insufficient_evidence_collection_record_v1,rcv2_g02_s06,rcv2_g02,1,20260824_202357,20260824_202357,episode_recorder_v7,true,true,,false,true,true,true,false,true,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G02 s06 Day27-v2；gripper timing challenge；红色方块保持nominal marker；空间抓取路径保持nominal；到达正常grasp-close phase后继续沿正常抬升方向约30-40mm再闭合夹爪；无target offset；无trajectory deviation；无第二干预；夹爪在方块上方夹空；任务失败
evidencemm_day27_insufficient_evidence_collection_record_v1,rcv2_g03_s06,rcv2_g03,1,20260824_204143,20260824_204143,episode_recorder_v7,true,true,,false,true,true,true,false,true,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G03 s06 Day27-v2；trajectory mild challenge；红色方块保持nominal marker；末端在nominal grasp pose上方保持约1-2cm安全高度，以nominal末端中心为参考沿Follower正前方平移约25mm；保持该横向偏移下降；夹爪按nominal timing闭合；未回正、未补偿、未重新抓取、无第二干预；未能夹取方块；任务失败
evidencemm_day27_insufficient_evidence_collection_record_v1,rcv2_g04_s06,rcv2_g04,1,20260824_204726,20260824_204726,episode_recorder_v7,true,true,,false,true,true,true,false,true,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G04 s06 Day27-v2；与G01相同的target mild challenge；红色方块由nominal marker沿Follower正前方移动20mm；机械臂继续执行原nominal抓取位置与nominal轨迹；夹爪保持nominal时序；未追踪或补偿偏移方块；无第二干预；任务失败
evidencemm_day27_insufficient_evidence_collection_record_v1,rcv2_g05_s06,rcv2_g05,1,20260824_205215,20260824_205215,episode_recorder_v7,true,true,,false,true,true,true,false,true,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G05 s06 Day27-v2；gripper timing challenge；红色方块保持nominal marker；空间抓取路径保持nominal；到达正常grasp-close phase后继续沿正常抬升方向约30-40mm再闭合夹爪；无target offset；无trajectory deviation；无第二干预；任务失败
evidencemm_day27_insufficient_evidence_collection_record_v1,rcv2_g06_s06,rcv2_g06,1,20260824_205729,20260824_205729,episode_recorder_v7,true,true,,false,true,true,true,false,true,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G06 s06 Day27-v2；trajectory mild challenge；红色方块保持nominal marker；末端在nominal grasp pose上方保持约1-2cm安全高度；以nominal末端中心为参考沿Follower正前方平移约25mm；保持该横向偏移下降；夹爪按nominal timing闭合；未回正、未补偿、未重新抓取、无第二干预；任务失败
evidencemm_day27_insufficient_evidence_collection_record_v1,rcv2_g07_s06,rcv2_g07,1,20260824_210230,20260824_210230,episode_recorder_v7,true,true,,false,true,true,true,false,true,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G07 s06 Day27-v2；target mild challenge；红色方块由nominal marker沿Follower正前方移动20mm；机械臂继续执行原nominal抓取位置与nominal轨迹；夹爪保持nominal时序；未追踪或补偿偏移方块；无第二干预；任务失败
evidencemm_day27_insufficient_evidence_collection_record_v1,rcv2_g08_s06,rcv2_g08,1,20260824_210553,20260824_210553,episode_recorder_v7,true,true,,false,true,true,true,false,true,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G08 s06 Day27-v2；gripper timing challenge；红色方块保持nominal marker；空间抓取路径保持nominal；到达正常grasp-close phase后继续沿正常抬升方向约30-40mm再闭合夹爪；无target offset；无trajectory deviation；无第二干预；任务失败
evidencemm_day27_insufficient_evidence_collection_record_v1,rcv2_g09_s06,rcv2_g09,1,20260824_212337,20260824_212337,episode_recorder_v7,true,true,,false,true,true,true,false,true,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G09 s06 Day27-v2；trajectory mild challenge；红色方块保持nominal marker；末端在nominal grasp pose上方保持约1-2cm安全高度；以nominal末端中心为参考沿Follower正前方平移约25mm；保持该横向偏移下降；夹爪按nominal timing闭合；未回正、未补偿、未重新抓取、无第二干预；任务失败
evidencemm_day27_insufficient_evidence_collection_record_v1,rcv2_g10_s06,rcv2_g10,1,20260824_212824,20260824_212824,episode_recorder_v7,true,true,,false,true,true,true,false,true,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G10 s06 Day27-v2；target mild challenge；红色方块由nominal marker沿Follower正前方移动20mm；机械臂继续执行原nominal抓取位置与nominal轨迹；夹爪保持nominal时序；未追踪或补偿偏移方块；无第二干预；任务失败
evidencemm_day27_insufficient_evidence_collection_record_v1,rcv2_g11_s06,rcv2_g11,1,20260824_213311,20260824_213311,episode_recorder_v7,true,true,,false,true,true,true,false,true,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G11 s06 Day27-v2；gripper timing challenge；红色方块保持nominal marker；空间抓取路径保持nominal；到达正常grasp-close phase后继续沿正常抬升方向约30-40mm再闭合夹爪；无target offset；无trajectory deviation；无第二干预；任务失败
evidencemm_day27_insufficient_evidence_collection_record_v1,rcv2_g12_s06,rcv2_g12,1,20260824_213651,20260824_213651,episode_recorder_v7,true,true,,false,true,true,true,false,true,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G12 s06 Day27-v2；trajectory mild challenge；红色方块保持nominal marker；末端在nominal grasp pose上方保持约1-2cm安全高度；以nominal末端中心为参考沿Follower正前方平移约25mm；保持该横向偏移下降；夹爪按nominal timing闭合；未回正、未补偿、未重新抓取、无第二干预；任务失败
